src_domain,dst_domain,contextual_links
fbe.unimelb.edu.au,staff.unimelb.edu.au,11
handbook.unimelb.edu.au,www.culture-communication.unimelb.edu.au,11
law.unimelb.edu.au,cms.unimelb.edu.au,11
law.unimelb.edu.au,research.unimelb.edu.au,11
msd.unimelb.edu.au,academicintegrity.unimelb.edu.au,11
research.unimelb.edu.au,services.unimelb.edu.au,11
research.unimelb.edu.au,electrical.eng.unimelb.edu.au,11
science.unimelb.edu.au,sites.research.unimelb.edu.au,11
students.unimelb.edu.au,specialconsideration.app.unimelb.edu.au,11
study.unimelb.edu.au,unimelb.edu.au,11
study.unimelb.edu.au,biomedicalsciences.unimelb.edu.au,11
www.unimelb.edu.au,science.unimelb.edu.au,11
arts.unimelb.edu.au,staff.unimelb.edu.au,10
arts.unimelb.edu.au,my.unimelb.edu.au,10
arts.unimelb.edu.au,careersonline.unimelb.edu.au,10
biomedicalsciences.unimelb.edu.au,pictures.staff.unimelb.edu.au,10
biomedicalsciences.unimelb.edu.au,sites.research.unimelb.edu.au,10
biomedicalsciences.unimelb.edu.au,endeavour.unimelb.edu.au,10
education.unimelb.edu.au,comms.alumni.unimelb.edu.au,10
eng.unimelb.edu.au,forms.your.unimelb.edu.au,10
eng.unimelb.edu.au,search.unimelb.edu.au,10
fbe.unimelb.edu.au,studyos.students.unimelb.edu.au,10
finearts-music.unimelb.edu.au,canvas.lms.unimelb.edu.au,10
handbook.unimelb.edu.au,unimelb.edu.au,10
handbook.unimelb.edu.au,edsc.unimelb.edu.au,10
law.unimelb.edu.au,library.unimelb.edu.au,10
mbs.unimelb.edu.au,canvas.lms.unimelb.edu.au,10
mbs.unimelb.edu.au,scholarships.unimelb.edu.au,10
mbs.unimelb.edu.au,umsu.unimelb.edu.au,10
